Date,US_S&P500,US_DowJones,US_NASDAQ,Europe_EuroStoxx50,UK_FTSE100,Japan_Nikkei225,HongKong_HangSeng,Egypt_EGX30
2017-07-13,2447.830078125,21553.08984375,6274.43994140625,3527.830078125,7413.39990234375,20099.810546875,26346.169921875,
2017-07-14,2459.27001953125,21637.740234375,6312.47021484375,3525.93994140625,7378.39990234375,20118.859375,26389.23046875,
2017-07-17,2459.139892578125,21629.720703125,6314.43017578125,3516.35009765625,7404.10009765625,,26470.580078125,
2017-07-18,2460.610107421875,21574.73046875,6344.31005859375,3478.679931640625,7390.2001953125,19999.91015625,26524.939453125,
2017-07-19,2473.830078125,21640.75,6385.0400390625,3500.280029296875,7430.89990234375,20020.859375,26672.16015625,
2017-07-20,2473.449951171875,21611.779296875,6390.0,3499.489990234375,7487.89990234375,20144.58984375,26740.2109375,
2017-07-21,2472.5400390625,21580.0703125,6387.75,3451.7099609375,7452.89990234375,20099.75,26706.08984375,
2017-07-24,2469.909912109375,21513.169921875,6410.81005859375,3453.169921875,7377.7001953125,19975.669921875,26846.830078125,
2017-07-25,2477.1298828125,21613.4296875,6412.169921875,3473.5400390625,7434.7998046875,19955.19921875,26852.05078125,
2017-07-26,2477.830078125,21711.009765625,6422.75,3491.18994140625,7452.2998046875,20050.16015625,26941.01953125,
2017-07-27,2475.419921875,21796.55078125,6382.18994140625,3493.139892578125,7443.0,20079.640625,27131.169921875,
2017-07-28,2472.10009765625,21830.310546875,6374.68017578125,3467.72998046875,7368.39990234375,19959.83984375,26979.390625,
2017-07-31,2470.300048828125,21891.119140625,6348.1201171875,3449.360107421875,7372.0,19925.1796875,27323.990234375,
2017-08-01,2476.35009765625,21963.919921875,6362.93994140625,,7423.7001953125,19985.7890625,27540.23046875,
2017-08-02,2477.570068359375,22016.240234375,6362.64990234375,3459.320068359375,7411.39990234375,20080.0390625,27607.380859375,
2017-08-03,2472.159912109375,22026.099609375,6340.33984375,3466.3701171875,7474.7998046875,20029.259765625,27531.009765625,
2017-08-04,2476.830078125,22092.810546875,6351.56005859375,3507.409912109375,7511.7001953125,19952.330078125,27562.6796875,
2017-08-07,2480.909912109375,22118.419921875,6383.77001953125,3505.800048828125,7531.89990234375,20055.890625,27690.359375,
2017-08-08,2474.919921875,22085.33984375,6370.4599609375,3515.6298828125,7542.7001953125,19996.009765625,27854.91015625,
2017-08-09,2474.02001953125,22048.69921875,6352.330078125,3468.449951171875,7498.10009765625,19738.7109375,27757.08984375,
2017-08-10,2438.2099609375,21844.009765625,6216.8701171875,3433.5400390625,7389.89990234375,19729.740234375,27444.0,
2017-08-11,2441.320068359375,21858.3203125,6256.56005859375,3406.340087890625,7310.0,,26883.509765625,
2017-08-14,2465.840087890625,21993.7109375,6340.22998046875,3450.659912109375,7353.89990234375,19537.099609375,27250.23046875,
2017-08-15,2464.610107421875,21998.990234375,6333.009765625,3461.909912109375,7383.89990234375,19753.310546875,27174.9609375,
2017-08-16,2468.110107421875,22024.869140625,6345.10986328125,3484.570068359375,7433.0,19729.279296875,27409.0703125,
2017-08-17,2430.010009765625,21750.73046875,6221.91015625,3461.969970703125,7387.89990234375,19702.630859375,27344.220703125,
2017-08-18,2425.550048828125,21674.509765625,6216.52978515625,3446.030029296875,7324.0,19470.41015625,27047.5703125,
2017-08-21,2428.3701171875,21703.75,6213.1298828125,3423.530029296875,7318.89990234375,19393.130859375,27154.6796875,
2017-08-22,2452.510009765625,21899.890625,6297.47998046875,3455.590087890625,7381.7001953125,19383.83984375,27401.669921875,
2017-08-23,2444.0400390625,21812.08984375,6278.41015625,3438.6298828125,7382.7001953125,19434.640625,,
2017-08-24,2438.969970703125,21783.400390625,6271.330078125,3444.72998046875,7407.10009765625,19353.76953125,27518.599609375,
2017-08-25,2443.050048828125,21813.669921875,6265.64013671875,3438.550048828125,7401.5,19452.609375,27848.16015625,
2017-08-28,2444.239990234375,21808.400390625,6283.02001953125,3421.030029296875,,19449.900390625,27863.2890625,
2017-08-29,2446.300048828125,21865.369140625,6301.89013671875,3388.219970703125,7337.39990234375,19362.55078125,27765.009765625,
2017-08-30,2457.590087890625,21892.4296875,6368.31005859375,3403.7099609375,7365.2998046875,19506.5390625,28094.609375,
2017-08-31,2471.64990234375,21948.099609375,6428.66015625,3421.469970703125,7430.60009765625,19646.240234375,27970.30078125,
2017-09-01,2476.550048828125,21987.560546875,6435.330078125,3443.8798828125,7438.5,19691.470703125,27953.16015625,
2017-09-04,,,,3430.419921875,7411.5,19508.25,27740.259765625,
2017-09-05,2457.85009765625,21753.310546875,6375.56982421875,3420.860107421875,7372.89990234375,19385.810546875,27741.349609375,
2017-09-06,2465.5400390625,21807.640625,6393.31005859375,3433.800048828125,7354.10009765625,19357.970703125,27613.759765625,
2017-09-07,2465.10009765625,21784.779296875,6397.8701171875,3447.659912109375,7397.0,19396.51953125,27522.919921875,
2017-09-08,2461.429931640625,21797.7890625,6360.18994140625,3447.68994140625,7377.60009765625,19274.8203125,27668.470703125,
2017-09-11,2488.110107421875,22057.369140625,6432.259765625,3495.18994140625,7413.60009765625,19545.76953125,27955.130859375,
2017-09-12,2496.47998046875,22118.859375,6454.27978515625,3512.56005859375,7400.7001953125,19776.619140625,27972.240234375,
2017-09-13,2498.3701171875,22158.1796875,6460.18994140625,3523.139892578125,7379.7001953125,19865.8203125,27894.080078125,
2017-09-14,2495.6201171875,22203.48046875,6429.080078125,3526.47998046875,7295.39990234375,19807.439453125,27777.19921875,
2017-09-15,2500.22998046875,22268.33984375,6448.47021484375,3515.550048828125,7215.5,19909.5,27807.58984375,
2017-09-18,2503.8701171875,22331.349609375,6454.64013671875,3526.739990234375,7253.2998046875,,28159.76953125,
2017-09-19,2506.64990234375,22370.80078125,6461.31982421875,3531.179931640625,7275.2998046875,20299.380859375,28051.41015625,
2017-09-20,2508.239990234375,22412.58984375,6456.0400390625,3525.550048828125,7272.0,20310.4609375,28127.80078125,
2017-09-21,2500.60009765625,22359.23046875,6422.68994140625,3539.590087890625,7263.89990234375,20347.48046875,28110.330078125,
2017-09-22,2502.219970703125,22349.58984375,6426.919921875,3541.419921875,7310.60009765625,20296.44921875,27880.529296875,
2017-09-25,2496.659912109375,22296.08984375,6370.58984375,3537.81005859375,7301.2998046875,20397.580078125,27500.33984375,
2017-09-26,2496.840087890625,22284.3203125,6380.16015625,3536.3798828125,7285.7001953125,20330.189453125,27513.009765625,
2017-09-27,2507.0400390625,22340.7109375,6453.259765625,3555.169921875,7313.5,20267.05078125,27642.4296875,
2017-09-28,2510.06005859375,22381.19921875,6453.4501953125,3563.639892578125,7322.7998046875,20363.109375,27421.599609375,
2017-09-29,2519.360107421875,22405.08984375,6495.9599609375,3594.85009765625,7372.7998046875,20356.279296875,27554.30078125,
2017-10-02,2529.1201171875,22557.599609375,6516.72021484375,3602.68994140625,7438.7998046875,20400.779296875,,
2017-10-03,2534.580078125,22641.669921875,6531.7099609375,3605.72998046875,7468.10009765625,20614.0703125,28173.2109375,
2017-10-04,2537.739990234375,22661.640625,6534.6298828125,3594.909912109375,7467.60009765625,20626.66015625,28379.1796875,
2017-10-05,2552.070068359375,22775.390625,6585.35986328125,3613.5400390625,7508.0,20628.560546875,,
2017-10-06,2549.330078125,22773.669921875,6590.18017578125,3603.320068359375,7522.89990234375,20690.7109375,28458.0390625,
2017-10-09,2544.72998046875,22761.0703125,6579.72998046875,3610.5,7507.89990234375,,28326.58984375,
2017-10-10,2550.639892578125,22830.6796875,6587.25,3598.7900390625,7538.2998046875,20823.509765625,28490.830078125,
2017-10-11,2555.239990234375,22872.890625,6603.5498046875,3607.389892578125,7533.7998046875,20881.26953125,28389.5703125,
2017-10-12,2550.929931640625,22841.009765625,6591.509765625,3605.5400390625,7556.2001953125,20954.720703125,28459.029296875,
2017-10-13,2553.169921875,22871.720703125,6605.7998046875,3604.550048828125,7535.39990234375,21155.1796875,28476.4296875,
2017-10-16,2557.639892578125,22956.9609375,6624.0,3606.27001953125,7527.0,21255.560546875,28692.80078125,
2017-10-17,2559.360107421875,22997.439453125,6623.66015625,3607.77001953125,7516.2001953125,21336.119140625,28697.490234375,
2017-10-18,2561.260009765625,23157.599609375,6624.22021484375,3619.64990234375,7542.89990234375,21363.05078125,28711.759765625,
2017-10-19,2562.10009765625,23163.0390625,6605.06982421875,3602.080078125,7523.0,21448.51953125,28159.08984375,
2017-10-20,2575.2099609375,23328.630859375,6629.0498046875,3605.090087890625,7523.2001953125,21457.640625,28487.240234375,
2017-10-23,2564.97998046875,23273.9609375,6586.830078125,3608.8701171875,7524.5,21696.650390625,28305.880859375,
2017-10-24,2569.1298828125,23441.759765625,6598.43017578125,3610.68994140625,7526.5,21805.169921875,28154.970703125,
2017-10-25,2557.14990234375,23329.4609375,6563.89013671875,3591.4599609375,7447.2001953125,21707.619140625,28302.890625,
2017-10-26,2560.39990234375,23400.859375,6556.77001953125,3637.199951171875,7486.5,21739.779296875,28202.380859375,
2017-10-27,2581.070068359375,23434.189453125,6701.259765625,3652.22998046875,7505.0,22008.44921875,28438.849609375,
2017-10-30,2572.830078125,23348.740234375,6698.9599609375,3662.179931640625,7487.7998046875,22011.669921875,28336.189453125,
2017-10-31,2575.260009765625,23377.240234375,6727.669921875,3673.949951171875,7493.10009765625,22011.609375,28245.5390625,
2017-11-01,2579.360107421875,23435.009765625,6716.52978515625,3697.39990234375,7488.0,22420.080078125,28594.060546875,
2017-11-02,2579.85009765625,23516.259765625,6714.93994140625,3688.800048828125,7555.2998046875,22539.119140625,28518.640625,
2017-11-03,2587.840087890625,23539.189453125,6764.43994140625,3689.9599609375,7560.39990234375,,28603.609375,
2017-11-06,2591.1298828125,23548.419921875,6786.43994140625,3682.360107421875,7562.2998046875,22548.349609375,28596.80078125,
2017-11-07,2590.639892578125,23557.23046875,6767.77978515625,3658.77001953125,7513.10009765625,22937.599609375,28994.33984375,
2017-11-08,2594.3798828125,23563.359375,6789.1201171875,3655.0400390625,7529.7001953125,22913.8203125,28907.599609375,
2017-11-09,2584.6201171875,23461.939453125,6750.0498046875,3612.5,7484.10009765625,22868.7109375,29136.5703125,
2017-11-10,2582.300048828125,23422.2109375,6750.93994140625,3593.760009765625,7433.0,22681.419921875,29120.919921875,
2017-11-13,2584.840087890625,23439.69921875,6757.60009765625,3574.52001953125,7415.2001953125,22380.990234375,29182.1796875,
2017-11-14,2578.8701171875,23409.470703125,6737.8701171875,3556.3798828125,7414.39990234375,22380.009765625,29152.119140625,
2017-11-15,2564.6201171875,23271.279296875,6706.2099609375,3545.719970703125,7372.60009765625,22028.3203125,28851.689453125,
2017-11-16,2585.639892578125,23458.359375,6793.2900390625,3564.800048828125,7386.89990234375,22351.119140625,29018.759765625,
2017-11-17,2578.85009765625,23358.240234375,6782.7900390625,3547.4599609375,7380.7001953125,22396.80078125,29199.0390625,
2017-11-20,2582.139892578125,23430.330078125,6790.7099609375,3561.409912109375,7389.5,22261.759765625,29260.310546875,
2017-11-21,2599.030029296875,23590.830078125,6862.47998046875,3579.320068359375,7411.2998046875,22416.48046875,29818.0703125,
2017-11-22,2597.080078125,23526.1796875,6867.35986328125,3562.64990234375,7419.0,22523.150390625,30003.490234375,
2017-11-23,,,,3572.070068359375,7417.2001953125,,29707.939453125,
2017-11-24,2602.419921875,23557.990234375,6889.16015625,3581.22998046875,7409.60009765625,22550.849609375,29866.3203125,
2017-11-27,2601.419921875,23580.779296875,6878.52001953125,3564.02001953125,7383.89990234375,22495.990234375,29686.189453125,
2017-11-28,2627.0400390625,23836.7109375,6912.35986328125,3583.489990234375,7460.7001953125,22486.240234375,29680.849609375,
2017-11-29,2626.070068359375,23940.6796875,6824.39013671875,3589.909912109375,7393.60009765625,22597.19921875,29623.830078125,
2017-11-30,2647.580078125,24272.349609375,6873.97021484375,3569.929931640625,7326.7001953125,22724.9609375,29177.349609375,
2017-12-01,2642.219970703125,24231.58984375,6847.58984375,3527.550048828125,7300.5,22819.029296875,29074.240234375,
2017-12-04,2639.43994140625,24290.05078125,6775.3701171875,3576.219970703125,7339.0,22707.16015625,29138.279296875,
