"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2025","5,280.71","5,366.87","5,386.41","5,276.29","","-1.59%"
"06/05/2025","5,366.17","5,393.86","5,434.05","5,334.36","","-0.52%"
"06/04/2025","5,394.26","5,363.37","5,401.31","5,338.35","","0.53%"
"06/03/2025","5,365.65","5,410.65","5,410.65","5,323.78","","-0.83%"
"06/02/2025","5,410.30","5,296.65","5,415.96","5,282.22","","2.16%"
"06/01/2025","5,295.96","5,262.72","5,303.37","5,262.72","","0.63%"
"05/30/2025","5,262.72","5,305.31","5,315.30","5,234.17","","-0.78%"
"05/29/2025","5,304.17","5,217.39","5,327.21","5,195.84","","1.67%"
"05/28/2025","5,217.29","5,300.61","5,326.03","5,207.24","","-1.54%"
"05/27/2025","5,298.67","5,355.39","5,363.11","5,258.14","","-1.11%"
"05/26/2025","5,358.18","5,364.65","5,385.16","5,327.10","","-0.08%"
"05/25/2025","5,362.35","5,387.10","5,387.10","5,361.06","","-0.46%"
"05/23/2025","5,387.10","5,295.34","5,399.78","5,278.97","","1.76%"
"05/22/2025","5,293.99","5,323.18","5,361.47","5,265.23","","-0.52%"
"05/21/2025","5,321.49","5,277.82","5,328.87","5,273.28","","0.79%"
"05/20/2025","5,279.92","5,187.58","5,300.18","5,154.64","","1.83%"
"05/19/2025","5,185.28","5,214.82","5,236.88","5,170.06","","-0.53%"
"05/18/2025","5,213.12","5,163.19","5,229.96","5,163.19","","0.97%"
"05/16/2025","5,163.19","5,219.71","5,231.05","5,087.39","","-1.11%"
"05/15/2025","5,221.02","5,160.14","5,243.03","5,050.86","","1.15%"
"05/14/2025","5,161.50","5,279.98","5,279.98","5,135.04","","-2.22%"
"05/13/2025","5,278.52","5,255.59","5,300.88","5,224.53","","0.45%"
"05/12/2025","5,254.98","5,351.55","5,351.55","5,211.18","","-2.91%"
"05/09/2025","5,412.49","5,398.92","5,447.02","5,333.46","","0.27%"
"05/08/2025","5,397.76","5,494.52","5,556.21","5,356.24","","-1.80%"
"05/07/2025","5,496.95","5,537.31","5,537.31","5,473.83","","-0.78%"
"05/06/2025","5,540.06","5,430.07","5,592.45","5,416.04","","1.99%"
"05/05/2025","5,431.72","5,289.00","5,436.44","5,283.21","","2.67%"
"05/02/2025","5,290.30","5,306.62","5,335.53","5,262.88","","-0.29%"
"05/01/2025","5,305.75","5,349.35","5,354.51","5,240.01","","-0.85%"
"04/30/2025","5,351.03","5,417.04","5,433.94","5,337.53","","-1.22%"
"04/29/2025","5,417.19","5,456.28","5,458.11","5,386.94","","-0.73%"
"04/28/2025","5,456.95","5,421.96","5,481.77","5,346.03","","0.37%"
"04/25/2025","5,437.00","5,487.17","5,509.67","5,352.32","","-0.90%"
"04/24/2025","5,486.10","5,432.35","5,522.39","5,419.19","","0.99%"
"04/23/2025","5,432.39","5,474.91","5,557.07","5,345.84","","-0.74%"
"04/22/2025","5,472.75","5,574.06","5,748.44","5,449.33","","-1.89%"
"04/21/2025","5,578.05","5,503.15","5,638.63","5,503.15","","1.99%"
"04/18/2025","5,469.35","5,469.35","5,469.35","5,469.35","","0.00%"
"04/17/2025","5,469.35","5,504.06","5,513.17","5,396.24","","-0.64%"
"04/16/2025","5,504.57","5,334.09","5,516.98","5,333.57","","3.30%"
"04/15/2025","5,328.58","5,265.09","5,328.58","5,265.09","","1.15%"
"04/14/2025","5,267.74","5,324.50","5,336.93","5,238.40","","-1.46%"
"04/11/2025","5,345.81","5,260.20","5,354.32","5,257.58","","1.54%"
"04/10/2025","5,264.98","5,126.17","5,265.41","5,102.20","","2.70%"
"04/09/2025","5,126.69","4,909.53","5,148.69","4,904.75","","4.39%"
"04/08/2025","4,911.11","4,929.16","4,982.95","4,897.12","","-0.32%"
"04/07/2025","4,926.95","4,907.03","5,042.18","4,868.36","","-0.27%"
"04/04/2025","4,940.14","5,063.80","5,098.51","4,906.91","","-2.47%"
"04/03/2025","5,065.17","5,142.83","5,142.83","4,970.60","","-1.50%"
"04/02/2025","5,142.49","5,064.77","5,149.97","5,056.70","","1.52%"
"04/01/2025","5,065.73","5,074.72","5,119.60","5,042.68","","-0.15%"
"03/31/2025","5,073.51","5,026.12","5,084.09","5,001.53","","1.12%"
"03/28/2025","5,017.21","4,967.82","5,018.62","4,967.82","","0.98%"
"03/27/2025","4,968.43","4,910.57","4,973.13","4,909.67","","1.19%"
"03/26/2025","4,909.97","4,912.42","4,931.13","4,898.00","","-0.04%"
"03/25/2025","4,912.09","4,896.42","4,934.15","4,893.95","","0.31%"
"03/24/2025","4,896.86","4,906.99","4,938.89","4,885.35","","-0.39%"
"03/21/2025","4,916.03","4,954.55","4,954.55","4,877.48","","-0.75%"
"03/20/2025","4,953.34","4,965.53","4,979.10","4,918.54","","-0.25%"
"03/19/2025","4,965.69","4,922.37","4,966.88","4,914.86","","0.87%"
"03/18/2025","4,922.88","4,871.58","4,933.03","4,871.12","","1.05%"
"03/17/2025","4,871.78","4,869.37","4,879.89","4,848.43","","0.17%"
"03/14/2025","4,863.32","4,861.94","4,892.19","4,851.54","","0.02%"
"03/13/2025","4,862.44","4,785.25","4,868.48","4,777.91","","1.63%"
"03/12/2025","4,784.67","4,742.46","4,792.31","4,733.12","","0.88%"
"03/11/2025","4,742.97","4,693.00","4,754.93","907.62","","1.04%"
"03/10/2025","4,694.02","4,742.54","4,749.26","4,687.04","","-1.01%"
"03/07/2025","4,742.05","4,742.24","4,774.24","4,722.71","","0.01%"
"03/06/2025","4,741.73","4,753.59","4,767.29","4,716.70","","-0.26%"
"03/05/2025","4,754.20","4,743.01","4,773.48","4,715.85","","0.22%"
"03/04/2025","4,743.89","4,706.24","4,764.93","4,692.91","","0.80%"
"03/03/2025","4,706.03","4,658.35","4,713.60","4,640.40","","1.14%"
"02/28/2025","4,653.16","4,683.66","4,699.19","4,612.76","","-0.68%"
"02/27/2025","4,684.88","4,748.63","4,748.63","4,670.07","","-1.36%"
"02/26/2025","4,749.34","4,746.07","4,763.43","4,703.38","","0.07%"
"02/25/2025","4,745.85","4,800.44","4,803.27","4,702.16","","-1.11%"
"02/24/2025","4,799.09","4,768.71","4,810.31","4,728.86","","0.53%"
"02/21/2025","4,773.71","4,784.54","4,795.34","4,745.33","","-0.21%"
"02/20/2025","4,783.76","4,779.06","4,807.68","4,754.75","","0.11%"
"02/19/2025","4,778.51","4,776.72","4,810.84","4,751.66","","0.05%"
"02/18/2025","4,775.95","4,716.58","4,782.14","4,705.83","","1.25%"
"02/17/2025","4,717.08","4,688.94","4,728.42","4,688.94","","0.53%"
"02/14/2025","4,692.00","4,771.64","4,786.05","4,683.55","","-1.65%"
"02/13/2025","4,770.61","4,726.27","4,773.29","4,722.44","","0.91%"
"02/12/2025","4,727.53","4,699.18","4,733.75","4,664.15","","0.58%"
"02/11/2025","4,700.08","4,716.88","4,757.62","4,677.93","","-0.37%"
"02/10/2025","4,717.50","4,643.03","4,722.80","4,640.26","","1.97%"
"02/07/2025","4,626.45","4,622.71","4,667.65","4,614.72","","0.10%"
"02/06/2025","4,621.90","4,641.71","4,647.64","4,586.56","","-0.44%"
"02/05/2025","4,642.29","4,593.56","4,662.37","4,590.48","","1.07%"
"02/04/2025","4,593.14","4,556.33","4,598.86","4,544.63","","0.79%"
"02/03/2025","4,557.00","4,563.21","4,581.32","4,497.51","","0.83%"
"01/31/2025","4,519.47","4,514.50","4,548.15","4,508.11","","0.09%"
"01/30/2025","4,515.36","4,456.12","4,518.45","4,454.40","","1.31%"
"01/29/2025","4,456.91","4,460.28","4,466.56","4,432.35","","-0.08%"
"01/28/2025","4,460.68","4,429.99","4,464.94","4,415.51","","0.67%"
"01/27/2025","4,430.81","4,486.98","4,491.11","4,412.75","","-1.10%"
"01/24/2025","4,479.98","4,454.26","4,504.14","4,453.64","","0.58%"
"01/23/2025","4,454.31","4,458.01","4,461.81","4,421.76","","-0.10%"
"01/22/2025","4,458.61","4,438.66","4,470.96","4,435.65","","0.46%"
"01/21/2025","4,438.09","4,385.46","4,440.86","4,373.20","","1.21%"
"01/20/2025","4,385.02","4,364.51","4,392.55","4,351.46","","0.12%"
"01/17/2025","4,379.68","4,398.79","4,403.04","4,374.26","","-0.44%"
"01/16/2025","4,399.00","4,368.83","4,414.94","4,362.87","","0.70%"
"01/15/2025","4,368.45","4,339.72","4,373.30","4,329.53","","0.68%"
"01/14/2025","4,338.86","4,332.67","4,344.58","4,314.47","","0.12%"
"01/13/2025","4,333.53","4,374.77","4,385.33","4,314.51","","-0.89%"
"01/10/2025","4,372.45","4,340.13","4,385.38","4,332.17","","0.74%"
"01/09/2025","4,340.35","4,332.20","4,354.25","4,319.87","","0.18%"
"01/08/2025","4,332.35","4,315.43","4,343.44","4,304.71","","0.40%"
"01/07/2025","4,315.11","4,290.53","4,337.73","4,287.71","","0.57%"
"01/06/2025","4,290.61","4,313.09","4,320.81","4,258.45","","-0.41%"
"01/03/2025","4,308.18","4,340.97","4,350.53","4,305.06","","-0.74%"
